index,file_offset,rel_offset,old_length,tokenized_original,plain_japanese,english_text,status,notes
0,0x04802100,0x0000,20,]リアス資源発掘基地[END],]リアス資源発掘基地,,todo,
1,0x04802114,0x0014,21,ゾリアス燃料精錬基地[END],ゾリアス燃料精錬基地,,todo,
2,0x04802129,0x0029,21,マ－ズ連邦軍総司令部[END],マ－ズ連邦軍総司令部,,todo,
3,0x0480213E,0x003E,17,帝国星軍総司令部[END],帝国星軍総司令部,,todo,
4,0x0480214F,0x004F,17,マウンドキャスル[END],マウンドキャスル,,todo,
5,0x04802160,0x0060,19,ザ－テ・コセの宮殿[END],ザ－テ・コセの宮殿,,todo,
6,0x04802173,0x0073,15,ラミュ－の住処[END],ラミュ－の住処,,todo,
7,0x04802182,0x0082,7,植民船[END],植民船,,todo,
8,0x04802189,0x0089,17,ゾリアス兵器工場[END],ゾリアス兵器工場,,todo,
9,0x0480219A,0x009A,21,ゾリアスバイオ研究所[END],ゾリアスバイオ研究所,,todo,
10,0x048021AF,0x00AF,13,ノ－ザンの砦[END],ノ－ザンの砦,,todo,
11,0x048021BC,0x00BC,5,廃坑[END],廃坑,,todo,
12,0x048021C1,0x00C1,5,鉱山[END],鉱山,,todo,
13,0x048021C6,0x00C6,7,ダスト[END],ダスト,,todo,
14,0x048021CD,0x00CD,13,コ－リスの塔[END],コ－リスの塔,,todo,
15,0x048021DA,0x00DA,19,ザクセンキャニオン[END],ザクセンキャニオン,,todo,
16,0x048021ED,0x00ED,5,墓地[END],墓地,,todo,
17,0x048021F2,0x00F2,15,ザイザルの火口[END],ザイザルの火口,,todo,
18,0x04802201,0x0101,13,ジョ－の部屋[END],ジョ－の部屋,,todo,
19,0x0480220E,0x010E,17,マ－ズ民間航宙船[END],マ－ズ民間航宙船,,todo,
20,0x0480221F,0x011F,5,船内[END],船内,,todo,
21,0x04802224,0x0124,21,ラッセルガイヤ－艦内[END],ラッセルガイヤ－艦内,,todo,
