index,file_offset,abs_ptr,rel_offset,old_length,tokenized_original,plain_japanese,english_markup,status,notes
0,0x007D1022,0xC022,0x0022,50,[CMD:04][ARG:06][CMD:05]実ﾊ、ﾂｲﾆザイザー鉱石ｦ精錬ｽﾙ方法ｦ見ﾂｹﾀﾝだ。[CMD:00],実ﾊ、ﾂｲﾆザイザー鉱石ｦ精錬ｽﾙ方法ｦ見ﾂｹﾀﾝだ。,,todo,
1,0x007D10DA,0xC0DA,0x00DA,149,[EVT:20]<08><08><05><02><04><05><06><07><08>[EVT:FF]Ｚ・ブラスター@ザイザーキャノン@ザイザーシールド@ザイザーフレーム@ザイザースパーク[EVT:FF][CMD:5F][CMD:04][ARG:06][CMD:05]ﾀだｼ、鉱石ﾉ量ﾊ限ﾗﾚﾃﾙｶﾗﾅ。造ﾘﾀｲ物ｦ選ﾝでﾐﾅ。[CMD:00],"Ｚ・ブラスター
ザイザーキャノン
ザイザーシールド
ザイザーフレーム
ザイザースパークﾀだｼ、鉱石ﾉ量ﾊ限ﾗﾚﾃﾙｶﾗﾅ。造ﾘﾀｲ物ｦ選ﾝでﾐﾅ。",,todo,
2,0x007D10E7,0xC0E7,0x00E7,136,Ｚ・ブラスター@ザイザーキャノン@ザイザーシールド@ザイザーフレーム@ザイザースパーク[EVT:FF][CMD:5F][CMD:04][ARG:06][CMD:05]ﾀだｼ、鉱石ﾉ量ﾊ限ﾗﾚﾃﾙｶﾗﾅ。造ﾘﾀｲ物ｦ選ﾝでﾐﾅ。[CMD:00],"Ｚ・ブラスター
ザイザーキャノン
ザイザーシールド
ザイザーフレーム
ザイザースパークﾀだｼ、鉱石ﾉ量ﾊ限ﾗﾚﾃﾙｶﾗﾅ。造ﾘﾀｲ物ｦ選ﾝでﾐﾅ。",,todo,
3,0x007D113B,0xC13B,0x013B,52,[CMD:5F][CMD:04][ARG:06][CMD:05]ﾀだｼ、鉱石ﾉ量ﾊ限ﾗﾚﾃﾙｶﾗﾅ。造ﾘﾀｲ物ｦ選ﾝでﾐﾅ。[CMD:00],ﾀだｼ、鉱石ﾉ量ﾊ限ﾗﾚﾃﾙｶﾗﾅ。造ﾘﾀｲ物ｦ選ﾝでﾐﾅ。,,todo,
4,0x007D1175,0xC175,0x0175,49,[CMD:5F][CMD:04][ARG:06][CMD:05]ｿｲﾂﾊ、[ARG:02]でﾓ持ﾃﾙﾒﾁｬ強力ﾅブラスターじｬｨ！[CMD:00],ｿｲﾂﾊ、でﾓ持ﾃﾙﾒﾁｬ強力ﾅブラスターじｬｨ！,,todo,
5,0x007D11B2,0xC1B2,0x01B2,55,[CMD:5F][CMD:04][ARG:06][CMD:05]ｿｲﾂﾊ、ﾜｼﾔ[ARG:08]ﾔ、[ARG:04]ﾉﾓﾃﾙ一撃必殺ﾉキャノン砲じｬｨ！[CMD:00],ｿｲﾂﾊ、ﾜｼﾔﾔ、ﾉﾓﾃﾙ一撃必殺ﾉキャノン砲じｬｨ！,,todo,
6,0x007D11F5,0xC1F5,0x01F5,63,[CMD:5F][CMD:04][ARG:06][CMD:05]ｿｲﾂﾊｵﾏｴ専用ﾉシールドじｬｨ。ｿﾚがｱﾚば、無敵じｬﾖ。@無敵！[CMD:00],"ｿｲﾂﾊｵﾏｴ専用ﾉシールドじｬｨ。ｿﾚがｱﾚば、無敵じｬﾖ。
無敵！",,todo,
7,0x007D1240,0xC240,0x0240,56,[CMD:5F][CMD:04][ARG:06][CMD:05]ｿｲﾂﾊ、[ARG:04]ﾉフレームじｬｨ[ARG:04]ﾉ防御力が格段ﾆ上がﾙぞ！[CMD:00],ｿｲﾂﾊ、ﾉフレームじｬｨﾉ防御力が格段ﾆ上がﾙぞ！,,todo,
8,0x007D1284,0xC284,0x0284,55,[CMD:5F][CMD:04][ARG:06][CMD:05]ｿｲﾂﾊ、ヘルバスターﾉ主砲で威力ﾊﾜｼﾉ保証付ｷじｬ！[CMD:00],ｿｲﾂﾊ、ヘルバスターﾉ主砲で威力ﾊﾜｼﾉ保証付ｷじｬ！,,todo,
9,0x007D12C7,0xC2C7,0x02C7,23,[CMD:5F][CMD:04][ARG:06][CMD:05]ｿｲﾂで、ｲｲﾉｶ？[CMD:00],ｿｲﾂで、ｲｲﾉｶ？,,todo,
10,0x007D12E0,0xC2E0,0x02E0,2,[EVT:00],,,todo,
