id,disk,offset,jp,en
s_000000,Alshark (System disk).hdm,0x081C13,"シオン。ｿｼﾃ、ﾐﾅｻﾝ。@私ﾊ、訳ｱｯﾃｱﾙ場所ﾆ身ｦ@隠ｼﾃｲﾏｽ」!0_「ｺﾉビデオレタｰｦ受ｹ取ｯﾃｷｯﾄ、驚ｶﾚﾀｺﾄでｼｮｳが私ﾆﾊ、今日、ｱﾅﾀ達が、ｺﾉ店ﾆ立ﾁ寄ﾙｺﾄが分ｶｯﾃｲﾀﾉでｽ」!0_「ｲｴ、ﾄｲｳﾖﾘﾓ、突発的ﾆ未来ｦ予知ｽﾙｺﾄがでｷﾙﾖｳﾅﾉでｽ」!0_「ﾅぜ、私が、ｿﾝﾅ能力ｦ身ﾆﾂｹﾃｼﾏｯﾀﾉｶ、ｿｼﾃ、姿ｦ隠ｻﾅｸﾃﾊﾅﾗﾅｶｯﾀﾉｶ全ﾃｦｵ話ｼﾏｽ。@ｿｼﾃ、力ｦ貸ｼﾃｸだｻｲ」!0_「ダイナﾉ村ﾆｱﾙ@3ウェｰ・ドゥムナﾉ石碑1ﾉ前で@待ｯﾃｲﾏｽ」!#S","Sion. Everyone. I'm in hiding for a reason. I know this video letter is a shock,but I knew you'd be here today. The truth is... I've started seeing the future. I'll explain everything—why I have this power,and why I had to disappear. But I need your help. Meet me at the We-Dumnah monument in Dyna village."
s_000001,Alshark (System disk).hdm,0x053ABD,"２日ﾎど前ﾆ、１人ﾉ女がｷﾃ、チップｦ５００クレジットﾓ払ｯﾃ、ｱﾝﾀ達ﾆｺﾚｦ渡ｽﾖｳﾆﾄ頼ﾏﾚﾀﾝだ。0_6ｿｳｲｳﾄ、彼ﾊ１通ﾉビデオレ6タｰｦ取ﾘ出ｼﾃ、シオンﾆ手渡6ｼﾀ。0#G","A woman came by a couple days ago. Paid me 500 CREDIT to give you this. He pulls out a video letter and hands it to Sion."
s_000002,Alshark (System disk).hdm,0x05BC07,"最近、ジャグマ親衛隊内ﾉ諜報@機関でｱﾙゼフィアﾉ長官ﾆ@マｰズ人が着任ｼﾀﾝだ。0#P","Jagma's spy agency,Zephia,has a new Martian director."
s_000003,Alshark (System disk).hdm,0x071322,"サイコジェネレｰタﾊ、ジャグマﾉﾓﾉﾄﾊ比べﾓﾉﾆﾅﾗﾅｲが強力ﾅ特殊精神波ｦ発ｽﾙｺﾄﾉでｷﾙ機械ﾅﾝだ。0#P","The Psycho Generator is a machine that can emit special psychic waves that are incomparable to Jagma's, but are powerful."
s_000004,Alshark (System disk).hdm,0x0765FB,"サリバン！！@ﾖｰｸ見ﾃｵｹ！@ｺﾚが、カｰマだ！！！0_6シオンﾊ、ヒｰト中将ﾆゾｰクｦ6放ｯﾀ！！#X","SULLIVAN! Watch this! This is KARMA! Sion unleashed his power on the general!"
s_000005,Alshark (System disk).hdm,0x05BCE0,"ジャグマﾉ諜報機関ﾉ長官ﾄﾊ、恐ﾚ入ｯﾀぜ。0#P","I was intimidated by the head of Jagma's intelligence agency."
s_000006,Alshark (System disk).hdm,0x0569E8,"ジャグマｦ倒ｽﾀﾒﾆﾊ、ｿﾉ@リングが必要ﾅﾝだ！0#P","We need that ring to defeat Jagma!"
s_000007,Alshark (System disk).hdm,0x06FC27,"宇宙ﾉ運命ｦ、シオンﾆ託ｼﾏｼｮｳ。0#P","Let's entrust the fate of the universe to Zion."
s_000008,Alshark (System disk).hdm,0x056C4E,"ジャグマ総帥ﾊ狂ｯﾃｲﾙ。0#P","Commander Jagma is crazy."
s_000009,Alshark (System disk).hdm,0x0757B0,"勘弁ｼﾃｸﾚ。@俺が悪ｶｯﾀﾖ。0_4酔ｯぱﾗｲ5ｿｳだ、ｲｲ事ｦ教ｴﾃﾔﾛｳ。0ｺﾉ惑星ﾆ伝ﾜﾙ伝説ﾉ詩だ。0_4酔ｯぱﾗｲ5「塔ﾆ眠ﾙ月ﾉ光。@　石ﾊ呼び覚ﾏｽ。@　遠ｸ忘ﾚ去ﾗﾚｼ幻影ｦ」0_4酔ｯぱﾗｲ5どｳだ？@ｲｲ詩だﾛｳ。","Alright, alright, spare me! My bad. ...Hey, I'll tell ya somethin'. It's an old legend... 'Moonlight sleeps in the tower. A stone awakens the forgotten phantom.' Heh. Good, huh?"
