id,disk,offsetHex,jp,old_en,new_en,method,confidence
s_000000,Alshark (System disk).hdm,0x081C13,"シオン。ｿｼﾃ、ﾐﾅｻﾝ。@私ﾊ、訳ｱｯﾃｱﾙ場所ﾆ身ｦ@隠ｼﾃｲﾏｽ」!0_「ｺﾉビデオレタｰｦ受ｹ取ｯﾃｷｯﾄ、驚ｶﾚﾀｺﾄでｼｮｳが私ﾆﾊ、今日、ｱﾅﾀ達が、ｺﾉ店ﾆ立ﾁ寄ﾙｺﾄが分ｶｯﾃｲﾀﾉでｽ」!0_「ｲｴ、ﾄｲｳﾖﾘﾓ、突発的ﾆ未来ｦ予知ｽﾙｺﾄがでｷﾙﾖｳﾅﾉでｽ」!0_「ﾅぜ、私が、ｿﾝﾅ能力ｦ身ﾆﾂｹﾃｼﾏｯﾀﾉｶ、ｿｼﾃ、姿ｦ隠ｻﾅｸﾃﾊﾅﾗﾅｶｯﾀﾉｶ全ﾃｦｵ話ｼﾏｽ。@ｿｼﾃ、力ｦ貸ｼﾃｸだｻｲ」!0_「ダイナﾉ村ﾆｱﾙ@3ウェｰ・ドゥムナﾉ石碑1ﾉ前で@待ｯﾃｲﾏｽ」!#S","[UNTRANSLATED]","Sion. Everyone. I'm in hiding for a reason. I know this video letter is a shock,but I knew you'd be here today. The truth is... I've started seeing the future. I'll explain everything—why I have this power,and why I had to disappear. But I need your help. Meet me at the We-Dumnah monument in Dyna village.",byId,1.00
s_000001,Alshark (System disk).hdm,0x053ABD,"２日ﾎど前ﾆ、１人ﾉ女がｷﾃ、チップｦ５００クレジットﾓ払ｯﾃ、ｱﾝﾀ達ﾆｺﾚｦ渡ｽﾖｳﾆﾄ頼ﾏﾚﾀﾝだ。0_6ｿｳｲｳﾄ、彼ﾊ１通ﾉビデオレ6タｰｦ取ﾘ出ｼﾃ、シオンﾆ手渡6ｼﾀ。0#G","[UNTRANSLATED]","A woman came by a couple days ago. Paid me 500 CREDIT to give you this. He pulls out a video letter and hands it to Sion.",byId,1.00
s_000002,Alshark (System disk).hdm,0x05BC07,"最近、ジャグマ親衛隊内ﾉ諜報@機関でｱﾙゼフィアﾉ長官ﾆ@マｰズ人が着任ｼﾀﾝだ。0#P","[UNTRANSLATED]","Jagma's spy agency,Zephia,has a new Martian director.",byId,1.00
s_000004,Alshark (System disk).hdm,0x0765FB,"サリバン！！@ﾖｰｸ見ﾃｵｹ！@ｺﾚが、カｰマだ！！！0_6シオンﾊ、ヒｰト中将ﾆゾｰクｦ6放ｯﾀ！！#X","[UNTRANSLATED]","SULLIVAN! Watch this! This is KARMA! Sion unleashed his power on the general!",byId,1.00
s_000006,Alshark (System disk).hdm,0x0569E8,"ジャグマｦ倒ｽﾀﾒﾆﾊ、ｿﾉ@リングが必要ﾅﾝだ！0#P","[UNTRANSLATED]","We need that ring to defeat Jagma!",byId,1.00
s_000009,Alshark (System disk).hdm,0x0757B0,"勘弁ｼﾃｸﾚ。@俺が悪ｶｯﾀﾖ。0_4酔ｯぱﾗｲ5ｿｳだ、ｲｲ事ｦ教ｴﾃﾔﾛｳ。0ｺﾉ惑星ﾆ伝ﾜﾙ伝説ﾉ詩だ。0_4酔ｯぱﾗｲ5「塔ﾆ眠ﾙ月ﾉ光。@　石ﾊ呼び覚ﾏｽ。@　遠ｸ忘ﾚ去ﾗﾚｼ幻影ｦ」0_4酔ｯぱﾗｲ5どｳだ？@ｲｲ詩だﾛｳ。","[UNTRANSLATED]","Alright, alright, spare me! My bad. ...Hey, I'll tell ya somethin'. It's an old legend... 'Moonlight sleeps in the tower. A stone awakens the forgotten phantom.' Heh. Good, huh?",byId,1.00
s_000010,Alshark (System disk).hdm,0x078077,"配下ﾆ、３人ﾉ将軍が居ﾙﾝだ。0_4ミュントス人5最近、Ｚ１２７恒星系ﾆ配備ｻﾚﾀ要塞バルバスﾉ総司令、通称、氷ﾉララウェル。0_4ミュントス人5バイオソルジャｰ部隊「ブラックビｰスト」ｦ率ｲﾙ、通称、@ビｰスト・バイデン。0_4ミュントス人5ｿｼﾃ、帝国宙軍ﾉ智将、ノベルサリバン。0_4ミュントス人5ｺﾉ３人がｲﾙｵｶげで、ウュリア王国ﾊ、相当、窮地ﾆ立ﾀｻﾚﾃｲﾙﾗｼｲ。","[UNTRANSLATED]","Jagma has three top generals. First is Ice Lalawel Dorian, commander of the fortress Barbas. Next is Beast Bayden, who leads the Black Beast, his elite biosoldier unit. And finally, the Zolius tactical genius, Sky-Victory Flag Sullivan. With them on the offensive, the Kingdom of Ulyria is on its last legs.",byId,1.00
s_000014,Alshark (System disk).hdm,0x079004,"呼び覚ﾏｽ。@　遠ｸ忘ﾚ去ﾗﾚｼ面影ｦ」0_4酔ｯぱﾗｲ5どｳだ？@ｲｲ詩だﾛｳ。","[UNTRANSLATED]","""...awakens the long-forgotten phantom."" Heh. Good, huh?",byId,1.00
s_000015,Alshark (System disk).hdm,0x0768CF,"カｰマｶ‥‥‥!@シオン‥‥ﾏﾀｲﾂｶ‥戦場で‥相ﾏﾐｴﾙ日がｸﾙだﾛｳ‥‥0_4$","[UNTRANSLATED]","So, this is karma... Sion... We'll meet again on the battlefield.",byId,1.00
s_000016,Alshark (System disk).hdm,0x0176A5,"シオン。@ｲｸﾗﾜｼがメカﾉ天才でﾓ、@スクラップがﾅｸﾁｬｱ、どｳｼ@ﾖｳﾓﾅｶﾛｳが。","[UNTRANSLATED]","Sion, I'm a genius, but even I need SCRAP to work with.",byId,1.00
