id,jp,en_gemini,en_ollama,qa_status
12,extracted_00012,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
13,extracted_00013,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
900,extracted_00900,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1767,extracted_01767,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1957,extracted_01957,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1958,extracted_01958,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1963,extracted_01963,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1964,extracted_01964,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1965,extracted_01965,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
1983,extracted_01983,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2027,extracted_02027,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2069,extracted_02069,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2075,extracted_02075,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2085,extracted_02085,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2089,extracted_02089,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2141,extracted_02141,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2142,extracted_02142,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2143,extracted_02143,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2145,extracted_02145,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2146,extracted_02146,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2147,extracted_02147,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2157,extracted_02157,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2158,extracted_02158,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2159,extracted_02159,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2160,extracted_02160,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2161,extracted_02161,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2163,extracted_02163,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2164,extracted_02164,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2165,extracted_02165,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2166,extracted_02166,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2167,extracted_02167,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2168,extracted_02168,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2169,extracted_02169,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2171,extracted_02171,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2173,extracted_02173,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2174,extracted_02174,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2175,extracted_02175,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2176,extracted_02176,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2177,extracted_02177,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2178,extracted_02178,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2179,extracted_02179,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2180,extracted_02180,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2181,extracted_02181,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2182,extracted_02182,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2184,extracted_02184,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2187,extracted_02187,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2188,extracted_02188,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2189,extracted_02189,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2193,extracted_02193,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2194,extracted_02194,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2195,extracted_02195,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2196,extracted_02196,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2198,extracted_02198,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2200,extracted_02200,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2202,extracted_02202,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2344,extracted_02344,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2345,extracted_02345,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2358,extracted_02358,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2493,extracted_02493,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2494,extracted_02494,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2502,extracted_02502,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2504,extracted_02504,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2638,extracted_02638,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2639,extracted_02639,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2640,extracted_02640,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2642,extracted_02642,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2643,extracted_02643,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2647,extracted_02647,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2649,extracted_02649,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2650,extracted_02650,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2651,extracted_02651,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2676,extracted_02676,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2677,extracted_02677,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2678,extracted_02678,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2680,extracted_02680,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2712,extracted_02712,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2713,extracted_02713,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2714,extracted_02714,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2715,extracted_02715,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2719,extracted_02719,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2720,extracted_02720,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2721,extracted_02721,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2722,extracted_02722,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2727,extracted_02727,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2731,extracted_02731,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2736,extracted_02736,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2770,extracted_02770,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2777,extracted_02777,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2783,extracted_02783,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2784,extracted_02784,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2785,extracted_02785,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2786,extracted_02786,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2787,extracted_02787,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2790,extracted_02790,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2791,extracted_02791,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2792,extracted_02792,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2794,extracted_02794,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2806,extracted_02806,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2808,extracted_02808,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2811,extracted_02811,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2854,extracted_02854,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2870,extracted_02870,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2871,extracted_02871,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2876,extracted_02876,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2878,extracted_02878,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2880,extracted_02880,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2882,extracted_02882,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
2883,extracted_02883,[TRANSLATION ERROR: Part.from_text() takes 1 positional argument but 2 were given],[OLLAMA ERROR: 404],REVIEW
